gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL044W-A	YAL044W-A	171.483	83.038	83.038	173.696	174.308
YAL045C	YAL045C	59.592	59.592	59.592	59.592	59.592
YAL046C	AIM1	193.95	107.001	107.001	195.981	196.594
YAL047C	SPC72	1701.596	1619	1619	1703.35	1703.118
YAL047W-A	YAL047W-A	134.2786	134.2786	134.2786	134.2786	134.2786
YAL048C	GEM1	1821.596	1739	1739	1823.35	1823.118
YAL049C	AIM2	573.609	491	491	575.35	575.173
YAL051W	OAF1	2976.596	2894	2894	2978.35	2978.118
YAL053W	FLC2	2184.596	2102	2102	2186.35	2186.118
YAL054C	ACS1	1974.596	1892	1892	1976.35	1976.118
YAL055W	PEX22	375.885	293	293	377.693	377.766
YAL056C-A	YAL056C-A	154.316	154.316	154.316	154.316	154.316
YAL056W	GPB2	2475.596	2393	2393	2477.35	2477.118
YAL058W	CNE1	1341.596	1259	1259	1343.35	1343.118
YAL059C-A	YAL059C-A	224.426	224.426	224.426	224.426	224.426
YAL059W	ECM1	471.676	389	389	473.41	473.288
YAL060W	BDH1	981.596	899	899	983.35	983.118
YAL061W	BDH2	1086.596	1004	1004	1088.35	1088.118
YAL062W	GDH3	1206.596	1124	1124	1208.35	1208.118
YAL063C	FLO9	3801.596	3719	3719	3803.35	3803.118
YAL063C-A	YAL063C-A	43.643	43.643	43.643	43.643	43.643
YAL064C-A	TDA8	183.3416	183.3416	183.3416	183.3416	183.3416
YAL064W	YAL064W	38.947	38.947	38.947	38.947	38.947
YAL064W-B	YAL064W-B	216.792	183.803320237943	131	218.648	183.803320237943
YAL065C	YAL065C	189.1772	189.1772	189.1772	189.1772	189.1772
YAL066W	YAL066W	114.6164	114.6164	114.6164	114.6164	114.6164
YAL067C	SEO1	1614.596	1532	1532	1616.35	1573.18284738497
YAL067W-A	YAL067W-A	55.3394	55.3394	55.3394	55.3394	55.3394
YAL068C	PAU8	199.681	113	113	201.63	202.268
YAL068W-A	YAL068W-A	21.585	21.585	21.585	21.585	21.585
YAL069W	YAL069W	154.977	65.324	116.963987947692	116.963987947692	158.058
YAR002C-A	ERP1	492.671	410	410	494.381	494.216
YAR002W	NUP60	1452.596	1370	1370	1454.35	1454.118
YAR003W	SWD1	1113.596	1031	1031	1115.35	1115.118
YAR007C	RFA1	1698.596	1616	1616	1700.35	1700.118
YAR008W	SEN34	660.596	578	578	662.35	662.16
YAR009C	YAR009C	3423.596	3341	3341	3425.35	3425.118
YAR010C	YAR010C	1155.596	1073	1073	1157.35	1157.118
YAR014C	BUD14	1962.596	1880	1880	1964.35	1964.118
YAR015W	ADE1	753.596	671	671	755.35	755.118
YAR018C	KIN3	1140.596	1058	1058	1142.35	1142.118
YAR019C	CDC15	2757.596	2675	2675	2759.35	2759.118
YAR019W-A	YAR019W-A	137.1126	137.1126	137.1126	137.1126	137.1126
YAR020C	PAU7	27.5854	27.5854	27.5854	27.5854	27.5854
YAR023C	YAR023C	372.904	290	290	374.71	374.814
YAR027W	UIP3	540.615	458	458	542.368	542.186
YAR028W	YAR028W	537.617	455	455	539.369	539.186
YAR029W	YAR029W	79.412	12.734	12.734	23.4389745958595	23.4389745958595
YAR030C	YAR030C	179.927	144.442106971698	92.011	182.031	144.442106971698
YAR031W	PRM9	729.596	647	647	731.35	731.118
YAR033W	MST28	537.617	455	455	539.369	539.186
YAR035C-A	YAR035C-A	6.7032	6.7032	6.7032	6.7032	6.7032
YAR035W	YAT1	1896.596	1814	1814	1898.35	1898.118
YAR042W	SWH1	3399.596	3317	3317	3401.35	3401.118
YAR047C	YAR047C	107.590941621495	107.590941621495	71.167	162.657	107.590941621495
YAR050W	FLO1	4446.596	4364	4364	4448.35	4448.118
YAR053W	YAR053W	103.8536	103.8536	103.8536	103.8536	103.8536
YAR060C	YAR060C	174.312	138.453361306772	86.025	138.453361306772	176.994
YAR061W	YAR061W	42.968	42.968	42.968	42.968	42.968
YAR062W	YAR062W	429.743	400.712587803309	347	431.48	400.712587803309
YAR064W	YAR064W	106.4954	106.4954	106.4954	106.4954	106.4954
YAR066W	YAR066W	444.708	362	362	446.428	446.395
YAR068W	YAR068W	319.307	236	236	321.187	321.345
YAR069C	YAR069C	139.435	139.435	139.435	139.435	139.435
YAR070C	YAR070C	106.4954	106.4954	106.4954	106.4954	106.4954
