task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	09/9f5d1b	12237	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:14:46.252	4.7s	3s	145.4%	170.4 MB	3.8 GB	15.2 MB	1.8 MB
11	4c/993293	11794	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:14:45.308	5.7s	4s	236.5%	267.9 MB	3.9 GB	16.1 MB	3.5 MB
16	58/64d9aa	14039	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP1)	COMPLETED	0	2024-07-04 09:14:51.039	5.8s	5s	188.9%	318.2 MB	3.9 GB	20.3 MB	3.5 MB
10	32/1bffe4	11469	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:14:44.523	12.7s	11s	156.0%	203.2 MB	3.4 GB	161.6 MB	120.4 MB
17	66/b75b97	16428	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CAT_ADDITIONAL_FASTA (gfp.fa)	COMPLETED	0	2024-07-04 09:14:56.879	1.2s	0ms	93.3%	11.2 MB	16.5 MB	1.2 MB	429.3 KB
14	a1/989791	13845	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:14:50.751	8.8s	8s	149.2%	225 MB	3.4 GB	107.5 MB	78.6 MB
21	42/de8806	17051	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome_gfp.fasta)	COMPLETED	0	2024-07-04 09:14:58.135	2s	0ms	6.8%	3.1 MB	6.3 MB	333.9 KB	4.9 KB
20	39/2c90a9	17056	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta)	COMPLETED	0	2024-07-04 09:14:58.143	2.3s	0ms	29.1%	3.2 MB	6.3 MB	4.7 MB	6.2 MB
18	6d/86a801	17776	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome_gfp.gtf)	COMPLETED	0	2024-07-04 09:14:59.595	2.8s	1s	20.5%	2.6 MB	13.2 MB	390.5 KB	7.7 KB
19	f4/2fee11	17911	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT (null)	COMPLETED	0	2024-07-04 09:15:00.136	4.5s	3s	66.0%	298.6 MB	7.9 GB	4.3 MB	4.9 MB
15	a3/62145f	14002	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP1)	COMPLETED	0	2024-07-04 09:14:50.937	15.3s	14s	172.8%	191.8 MB	3.3 GB	283.8 MB	236.5 MB
22	71/aac69e	19399	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:15:04.684	20.9s	20s	179.9%	973.8 MB	8.7 GB	21.4 MB	14.3 MB
25	54/7a95da	20077	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:15:06.230	28.6s	28s	173.6%	1.1 GB	8.6 GB	35.3 MB	28.7 MB
27	96/272f29	29320	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:15:34.806	2.9s	2s	41.1%	242.4 MB	388.6 MB	3.7 MB	33.1 KB
23	a0/c064b1	19381	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (WT_REP2)	COMPLETED	0	2024-07-04 09:15:04.675	33.7s	32s	181.7%	1.1 GB	9.3 GB	35.5 MB	29 MB
24	97/370e75	19401	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:15:04.690	34s	33s	186.5%	1.1 GB	9.4 GB	35.7 MB	29.3 MB
30	9f/4a21f7	30806	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:15:38.652	2s	1s	126.2%	68.2 MB	136.1 MB	6.4 MB	33.3 KB
28	62/750ede	30157	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:15:37.679	12.7s	11s	95.7%	590.5 MB	4.3 GB	26.5 MB	6.4 MB
31	7e/2379f6	34921	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (WT_REP2)	COMPLETED	0	2024-07-04 09:15:50.347	1.9s	0ms	125.0%	17.4 MB	34.1 MB	6.3 MB	34.8 KB
33	28/2ffc54	35554	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:15:52.204	1.8s	1s	126.7%	50.1 MB	88.1 MB	6.5 MB	34.9 KB
29	c1/880ac4	30449	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:15:38.335	22.1s	20s	97.8%	599.1 MB	4.4 GB	50.1 MB	12.9 MB
35	a3/163318	37576	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:00.398	1.7s	0ms	47.2%	3.2 MB	6.4 MB	3.5 MB	1.5 MB
36	73/b240e9	37977	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:02.067	2.8s	2s	89.1%	748.7 MB	952.9 MB	3.4 MB	28.5 KB
37	50/aca77f	39012	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:04.892	1.3s	0ms	161.2%	36 MB	1.7 GB	6.9 MB	2.9 MB
26	b4/310023	26958	NFCORE_RNASEQ:RNASEQ:BBMAP_BBSPLIT (WT_REP1)	COMPLETED	0	2024-07-04 09:15:25.636	41.2s	40s	218.2%	1.1 GB	9.3 GB	63.6 MB	58.3 MB
39	1d/432d80	39570	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:06.878	1s	0ms	96.6%	3.2 MB	5.4 MB	1.6 MB	6 KB
38	64/4d5aa7	39362	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:06.215	3s	2s	125.7%	761.1 MB	965.9 MB	6.5 MB	28.7 KB
41	b2/2c2659	40321	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:09.172	1s	0ms	116.4%	6.4 MB	220.9 MB	3 MB	6.6 KB
40	bf/468cd2	39954	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:07.915	10.2s	4s	154.6%	1.7 GB	7.7 GB	20.9 MB	2.3 MB
42	6d/73adb3	40618	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:10.215	8.6s	5s	159.2%	2 GB	7.7 GB	23.7 MB	3.8 MB
47	03/f13448	42920	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:18.844	1.3s	0ms	76.7%	6.6 MB	220.9 MB	1.7 MB	6 KB
46	1b/a47133	43466	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:20.199	1.4s	1s	38.2%	3.2 MB	7.3 MB	1.9 MB	117.5 KB
43	f5/044b03	42648	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT_REP1)	COMPLETED	0	2024-07-04 09:16:18.139	4.8s	4s	99.0%	6.6 MB	11.4 MB	16.1 MB	8.2 MB
45	d5/3d4238	44131	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:21.642	2.9s	1s	64.8%	2.8 MB	17.9 MB	3.6 MB	635.6 KB
48	90/00adf7	42954	NFCORE_RNASEQ:RNASEQ:DUPRADAR (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:18.862	7s	5s	79.3%	247.9 MB	1.5 GB	29.8 MB	95.9 KB
52	b0/0d69bc	44508	NFCORE_RNASEQ:RNASEQ:DUPRADAR (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:22.938	4.8s	4s	122.4%	265.8 MB	1.5 GB	35.7 MB	100 KB
49	47/1e054f	45932	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:27.724	2.3s	0ms	47.8%	2.9 MB	13.9 MB	1.9 MB	6.8 KB
51	a9/23e5d4	46513	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:29.984	5.4s	4s	201.0%	193.9 MB	8.1 GB	15.7 MB	475.8 KB
44	7f/a02d08	45137	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:24.510	11.1s	5s	162.1%	184.8 MB	7.9 GB	14.2 MB	475.8 KB
50	75/71d70a	48348	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:35.639	1.1s	0ms	108.5%	6.6 MB	220.9 MB	3.2 MB	6.7 KB
54	8f/251a91	48896	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:36.772	1.2s	0ms	100.0%	12.1 MB	35.9 MB	3.4 MB	118.8 KB
53	3d/e151dd	48300	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:35.431	2.6s	0ms	113.0%	12.9 MB	43.8 MB	6.8 MB	949.8 KB
55	3b/eb8181	49157	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:37.957	2.4s	0ms	100.0%	15.8 MB	274.5 MB	3.4 MB	6.8 KB
56	64/222f12	49936	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:40.326	2.6s	1s	135.7%	21.4 MB	35.6 MB	18.5 MB	1.6 KB
58	61/93373b	49211	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:38.036	6s	4s	67.9%	71.3 MB	2 GB	24.4 MB	27.3 KB
59	37/4251ee	50656	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:42.952	2.2s	1s	188.4%	58.6 MB	1 GB	18.4 MB	746 B
57	0b/3e53fe	51202	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:44.020	2.7s	2s	191.8%	22.2 MB	36.2 MB	24.4 MB	32.8 KB
60	bb/1ac392	51652	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:45.203	2.7s	2s	182.6%	22.8 MB	36.5 MB	24.4 MB	85.3 KB
61	64/1a93be	52193	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:46.720	2.3s	1s	175.1%	48.7 MB	1 GB	18.4 MB	1.2 KB
62	09/71b870	52693	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:47.935	1.7s	1s	185.4%	18.8 MB	32.8 MB	8.4 MB	351 B
63	03/dcec7f	53270	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT_REP1)	COMPLETED	0	2024-07-04 09:16:49.069	2.1s	1s	199.7%	17.6 MB	34.1 MB	9.2 MB	23.9 KB
65	b0/ba350a	53492	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:49.622	1.6s	0ms	12.2%	3.2 MB	9.8 MB	247.8 KB	191.6 KB
64	86/3fb6b2	53962	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:51.161	1.3s	0ms	106.7%	3.1 MB	5.4 MB	183 KB	126.8 KB
66	85/2de395	54036	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:51.218	1.5s	0ms	109.8%	11.5 MB	16.5 MB	831.8 KB	1.5 KB
76	50/124a93	54038	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:51.223	1.6s	0ms	94.1%	11.5 MB	16.7 MB	831.8 KB	1.5 KB
80	03/d38a47	54885	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:52.816	1.7s	1s	13.2%	3.1 MB	14.9 MB	436.6 KB	90.6 KB
79	5e/4f77ac	54835	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-07-04 09:16:52.774	1.8s	1s	11.7%	3.1 MB	11.1 MB	631.2 KB	105.1 KB
68	d1/e01f3d	54776	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:52.484	2.6s	1s	170.8%	37.6 MB	1 GB	19.9 MB	1.2 KB
67	a5/e89234	55799	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:54.581	2s	1s	158.9%	19.5 MB	33.8 MB	8.4 MB	351 B
32	3d/68e91b	31656	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (WT_REP2)	COMPLETED	0	2024-07-04 09:15:40.683	1m 16s	1m 15s	99.8%	608.5 MB	4.3 GB	50.8 MB	11.7 MB
70	84/fece64	55876	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:55.038	2.9s	2s	193.1%	130.5 MB	2.1 GB	25.9 MB	90.3 KB
71	5a/bdc68e	56526	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:56.661	2.6s	1s	165.6%	41.7 MB	1 GB	19.9 MB	746 B
69	9b/1d30db	56494	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:56.605	3.1s	2s	164.3%	122.1 MB	2.1 GB	25.9 MB	49.1 KB
72	b2/fd9afe	57212	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:57.897	2.8s	2s	177.2%	11.9 MB	17.2 MB	25.9 MB	27.3 KB
75	e8/774112	57927	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:59.761	1.2s	0ms	80.0%	3.1 MB	5.4 MB	321.1 KB	264.9 KB
74	52/ce8205	58392	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:17:00.661	1.3s	0ms	94.1%	2.9 MB	5.4 MB	266.8 KB	210.6 KB
73	8e/7e3be3	57754	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:16:59.275	2.7s	1s	190.9%	41.9 MB	1 GB	20 MB	1.6 KB
81	18/aac73c	59029	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (WT_REP2)	COMPLETED	0	2024-07-04 09:17:01.962	1.5s	1s	151.8%	22.9 MB	1.7 GB	6.4 MB	3.1 MB
78	3c/2536be	58447	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (WT_REP1)	COMPLETED	0	2024-07-04 09:17:00.928	2.7s	2s	107.7%	268.4 MB	420.6 MB	11.8 MB	34.9 KB
83	bf/49732a	59710	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:17:03.608	1.3s	0ms	111.6%	9.5 MB	24.5 MB	851 KB	123.8 KB
84	86/ba3687	59718	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-07-04 09:17:03.614	1.5s	0ms	108.1%	3.2 MB	5.4 MB	688.1 KB	110.8 KB
85	63/49fe51	60540	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2024-07-04 09:17:05.096	1.1s	0ms	107.7%	6.6 MB	220.9 MB	3.2 MB	6 KB
34	6a/ca6998	36195	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:15:53.994	1m 13s	1m 12s	100.2%	608.6 MB	4.4 GB	50.9 MB	12.4 MB
82	41/4dca21	59652	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (WT_REP2)	COMPLETED	0	2024-07-04 09:17:03.443	3.1s	2s	116.9%	943.4 MB	1.1 GB	5.8 MB	30.5 KB
87	c4/16a2d0	61127	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:TX2GENE (genome_gfp.gtf)	COMPLETED	0	2024-07-04 09:17:06.529	1.5s	0ms	98.8%	14 MB	18.9 MB	1.3 MB	3.3 KB
88	ad/63b0b2	61193	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:17:06.595	1.8s	0ms	130.7%	25.7 MB	1.7 GB	6.7 MB	3.3 MB
89	40/5f57fc	61942	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:17:08.008	3.5s	3s	103.8%	940.2 MB	1.1 GB	6.2 MB	30.7 KB
86	95/198f10	61068	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (WT_REP2)	COMPLETED	0	2024-07-04 09:17:06.223	6.4s	4s	199.6%	1.8 GB	7.8 GB	24.2 MB	4.1 MB
91	0b/c6660b	63876	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:17:11.551	1.3s	0ms	104.3%	6.6 MB	220.9 MB	3.4 MB	6.2 KB
95	bf/88c685	64612	NFCORE_RNASEQ:RNASEQ:DUPRADAR (WT_REP2)	COMPLETED	0	2024-07-04 09:17:12.821	5.5s	4s	111.9%	250.9 MB	1.5 GB	36.8 MB	92.6 KB
92	83/eab0d8	64537	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:17:12.640	6.7s	4s	195.5%	1.8 GB	7.7 GB	24.6 MB	4.3 MB
94	42/8a7144	66920	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (WT_REP2)	COMPLETED	0	2024-07-04 09:17:19.394	1.3s	0ms	96.3%	11.6 MB	35.2 MB	3.7 MB	118.1 KB
93	c6/7f0cf5	66413	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (WT_REP2)	COMPLETED	0	2024-07-04 09:17:18.341	2.6s	0ms	108.3%	12.9 MB	43.8 MB	7.2 MB	806.1 KB
97	32/196f03	67528	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2024-07-04 09:17:20.976	1.2s	0ms	86.7%	6.6 MB	220.9 MB	3.5 MB	6 KB
98	28/eb0ff0	67905	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (WT_REP2)	COMPLETED	0	2024-07-04 09:17:22.169	2.2s	0ms	96.5%	19.2 MB	274.5 MB	3.7 MB	7.6 KB
114	3c/0fc764	68873	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (WT_REP2)	COMPLETED	0	2024-07-04 09:17:25.391	1.3s	0ms	84.2%	3 MB	5.4 MB	831.6 KB	1.5 KB
96	97/79a9c5	67385	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (WT_REP2)	COMPLETED	0	2024-07-04 09:17:20.721	6.2s	4s	254.7%	419.7 MB	8.2 GB	21.5 MB	5.9 MB
99	0d/ad1757	69495	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-07-04 09:17:26.909	1.1s	0ms	101.3%	6.9 MB	220.9 MB	3.7 MB	6.2 KB
