gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL053W	FLC2	2183.158	2102	2102	2183.496	2183.94
YAL054C	ACS1	1973.158	1892	1892	1973.496	1973.94
YAL055W	PEX22	374.594	293	293	375.18	375.876
YAL056C-A	YAL056C-A	153.3498	153.3498	153.3498	153.3498	153.3498
YAL056W	GPB2	2474.158	2393	2393	2474.496	2474.94
YAL058W	CNE1	1340.158	1259	1259	1340.496	1340.94
YAL059C-A	YAL059C-A	223.345	223.345	223.345	223.345	223.345
YAL059W	ECM1	470.311	389	389	470.762	471.319
YAL060W	BDH1	980.158	899	899	980.496	980.94
YAL061W	BDH2	1085.158	1004	1004	1085.496	1085.94
YAL062W	GDH3	1205.158	1124	1124	1205.496	1205.94
YAL063C	FLO9	3800.158	3719	3719	3800.496	3800.94
YAL063C-A	YAL063C-A	43.643	43.643	43.643	43.643	43.643
YAL064C-A	TDA8	182.3328	182.3328	182.3328	182.3328	182.3328
YAL064W	YAL064W	38.947	38.947	38.947	38.947	38.947
YAL064W-B	YAL064W-B	215.594	182.831515951552	131	216.394	182.831515951552
YAL065C	YAL065C	188.152	188.152	188.152	188.152	188.152
YAL066W	YAL066W	113.821	113.821	113.821	113.821	113.821
YAL067C	SEO1	1613.158	1532	1532	1613.496	1572.13770085173
YAL067W-A	YAL067W-A	54.8648	54.8648	54.8648	54.8648	54.8648
YAL068C	PAU8	198.545	113	113	199.354	200.67
YAL068W-A	YAL068W-A	102.213	46.9709229736866	21.585	46.9709229736866	46.9709229736866
YAL069W	YAL069W	153.972	65.324	65.324	86.9352212553802	86.9352212553802
YAR002C-A	ERP1	491.307	410	410	491.75	492.229
YAR002W	NUP60	1451.158	1370	1370	1451.496	1451.94
YAR003W	SWD1	1112.158	1031	1031	1112.496	1112.94
YAR007C	RFA1	1697.158	1616	1616	1697.496	1697.94
YAR008W	SEN34	659.192	578	578	659.65	660.051
YAR009C	YAR009C	3422.158	3341	3341	3422.496	3422.94
YAR010C	YAR010C	1154.158	1073	1073	1154.496	1154.94
YAR014C	BUD14	1961.158	1880	1880	1961.496	1961.94
YAR015W	ADE1	752.192	671	671	752.648	752.969
YAR018C	KIN3	1139.158	1058	1058	1139.496	1139.94
YAR019C	CDC15	2756.158	2675	2675	2756.496	2756.94
YAR019W-A	YAR019W-A	136.2182	136.2182	136.2182	136.2182	136.2182
YAR020C	PAU7	27.49	27.49	27.49	27.49	27.49
YAR023C	YAR023C	371.623	290	290	372.212	328.414435106543
YAR027W	UIP3	539.204	458	458	539.706	540.169
YAR028W	YAR028W	536.205	455	455	536.706	537.169
YAR029W	YAR029W	78.841	12.734	12.734	23.3826612722372	23.3826612722372
YAR030C	YAR030C	178.858	143.597123228235	92.011	179.924	143.597123228235
YAR031W	PRM9	728.192	647	647	728.648	728.969
YAR033W	MST28	536.205	455	455	536.706	537.169
YAR035C-A	YAR035C-A	6.9186	6.9186	6.9186	6.9186	6.9186
YAR035W	YAT1	1895.158	1814	1814	1895.496	1895.94
YAR042W	SWH1	3398.158	3317	3317	3398.496	3398.94
YAR047C	YAR047C	106.996965480335	106.996965480335	71.167	160.866	106.996965480335
YAR050W	FLO1	4445.158	4364	4364	4445.496	4445.94
YAR053W	YAR053W	103.065	103.065	103.065	103.065	103.065
YAR060C	YAR060C	173.284	137.795991891919	86.025	137.795991891919	175.52
YAR061W	YAR061W	42.6898	42.6898	42.6898	42.6898	42.6898
YAR062W	YAR062W	428.394	399.483797699403	347	428.869	399.483797699403
YAR064W	YAR064W	105.7062	105.7062	105.7062	105.7062	105.7062
YAR066W	YAR066W	443.353	362	362	443.825	444.444
YAR068W	YAR068W	318.043	236	236	318.628	319.477
YAR069C	YAR069C	138.188	138.188	138.188	138.188	138.188
YAR070C	YAR070C	105.7062	105.7062	105.7062	105.7062	105.7062
